Style|SKU|prediction|count
JNE2251|JNE2251-KR-537-XL|7|2
JNE3625|JNE3625-DR-L|7|2
SET038|SET038-KR-PP-XXXL|7|2
MEN5014|MEN5014-KR-L|7|2
JNE3373|JNE3373-KR-S|7|2
MEN5010|MEN5010-KR-XXL|7|2
JNE2132|JNE2132-KR-398-M|7|2
J0119|J0119-TP-M|7|2
SET131|SET131-KR-NP-XXL|7|2
JNE3030|JNE3030-KR-M|7|2
J0178|J0178-TP-S|7|2
J0202|J0202-TP-XL|7|2
SET251|SET251-KR-PP-M|7|2
MEN5021|MEN5021-KR-XXL|7|2
JNE3437|JNE3437-KR-L|7|2
JNE3516|JNE3516-KR-L|7|2
SET210|SET210-KR-PP-S|7|2
JNE3449|JNE3449-KR-L|7|2
JNE3030|JNE3030-KR-S|7|2
J0197|J0197-TP-XS|7|2
JNE3639|JNE3639-TP-XXL|7|2
J0202|J0202-TP-XXL|7|2
JNE3683|JNE3683-TU-XL|7|2
JNE3522|JNE3522-KR-S|7|2
J0152|J0152-DR-L|7|2
JNE3252|JNE3252-KR-XL|7|2
JNE3449|JNE3449-KR-S|7|2
JNE3662|JNE3662-TP-M|7|2
SET228|SET228-KR-PP-XL|7|2
JNE3642|JNE3642-TP-M|7|2
J0341|J0341-DR-M|7|2
SET044|SET044-KR-NP-XL|7|2
MEN5032|MEN5032-KR-XXL|7|2
JNE2251|JNE2251-KR-537-XXXL|7|2
SET131|SET131-KR-NP-S|7|2
JNE3698|JNE3698-KR-L|7|2
JNE3628|JNE3628-KR-XXL|7|2
JNE3698|JNE3698-KR-S|7|2
PJNE3363|PJNE3363-KR-4XL|7|2
JNE3788|JNE3788-KR-XL|7|2
JNE3560|JNE3560-KR-XL|7|2
JNE3728|JNE3728-KR-XL|7|2
JNE3384|JNE3384-KR-S|7|2
JNE3698|JNE3698-KR-XXL|7|2
JNE3568|JNE3568-KR-XXXL|7|2
JNE3698|JNE3698-KR-XL|7|2
JNE3561|JNE3561-KR-M|7|2
JNE3546|JNE3546-KR-XXXL|7|2
JNE3628|JNE3628-KR-M|7|2
J0293|J0293-DR-XS|7|2
JNE2014|JNE2014-KR-178-XXXL|7|2
JNE3546|JNE3546-KR-L|7|2
JNE3489|JNE3489-KR-M|7|2
JNE3560|JNE3560-KR-L|7|2
JNE3728|JNE3728-KR-XXL|7|2
JNE3556|JNE3556-KR-M|7|2
JNE3435|JNE3435-KR-XL|7|2
JNE3750|JNE3750-KR-XXXL|7|2
JNE3535|JNE3535-KR-L|7|2
JNE3489|JNE3489-KR-XXL|7|2
JNE3566|JNE3566-KR-XXL|7|2
JNE2014|JNE2014-KR-178-XXL|7|2
JNE3568|JNE3568-KR-M|7|2
JNE2009|JNE2009-KR-310-S|7|2
JNE3547|JNE3547-KR-XXXL|7|2
JNE2009|JNE2009-KR-310-XXL|7|2
JNE2014|JNE2014-KR-178-S|7|2
JNE3535|JNE3535-KR-XL|7|2
JNE3728|JNE3728-KR-S|7|2
JNE3568|JNE3568-KR-XXL|7|2
JNE3564|JNE3564-KR-XL|7|2
JNE3788|JNE3788-KR-XS|7|2
JNE3384|JNE3384-KR-L|7|2
JNE3697|JNE3697-KR-L|7|2
JNE3566|JNE3566-KR-L|7|2
JNE3555|JNE3555-KR-L|7|2
JNE3612|JNE3612-KR-S|7|2
JNE3751|JNE3751-KR-XL|7|2
JNE3489|JNE3489-KR-L|7|2
JNE3566|JNE3566-KR-XL|7|2
JNE3612|JNE3612-KR-XXXL|7|2
JNE3384|JNE3384-KR-M|7|2
JNE3405|JNE3405-KR-XXL|7|2
JNE3564|JNE3564-KR-XXL|7|2
JNE3561|JNE3561-KR-XL|7|2
JNE3555|JNE3555-KR-XL|7|2
JNE3547|JNE3547-KR-XXL|7|2
JNE2009|JNE2009-KR-310-M|7|2
JNE3697|JNE3697-KR-XXL|7|2
JNE3728|JNE3728-KR-L|7|2
JNE3555|JNE3555-KR-XXL|7|2
JNE3535|JNE3535-KR-S|7|2
JNE3435|JNE3435-KR-L|7|2
JNE3556|JNE3556-KR-XXL|7|2
JNE3384|JNE3384-KR-XXXL|7|2
JNE2014|JNE2014-KR-178-M|7|2
JNE3546|JNE3546-KR-S|7|2
JNE3628|JNE3628-KR-L|7|2
JNE3535|JNE3535-KR-M|7|2
JNE3750|JNE3750-KR-L|7|2
JNE3489|JNE3489-KR-XXXL|7|2
JNE3489|JNE3489-KR-S|7|2
JNE3440|JNE3440-KR-XXXL|7|2
JNE3568|JNE3568-KR-S|7|2
JNE3561|JNE3561-KR-XXXL|7|2
JNE3628|JNE3628-KR-XL|7|2
JNE3567|JNE3567-KR-M|7|2
JNE3612|JNE3612-KR-XL|7|2
JNE3697|JNE3697-KR-M|7|2
